1773993600000,-0.066,0.0143,1.0097
1773993600050,-0.0011,-0.0242,1.0552
1773993600100,0.0412,0.0801,1.1254
1773993600150,0.1304,0.1075,0.9668
1773993600200,0.0186,-0.0173,1.0902
1773993600250,0.0826,0.2004,1.1463
1773993600300,0.0795,0.036,1.1044
1773993600350,0.0395,0.0773,1.1595
1773993600400,0.1157,0.0897,1.2118
1773993600450,0.0985,0.2055,1.2115
1773993600500,0.1016,0.2369,1.2491
1773993600550,0.112,0.1354,1.2757
1773993600600,0.1608,0.2271,1.2923
1773993600650,0.0973,0.3172,1.2983
1773993600700,0.1974,0.2452,1.2859
1773993600750,0.1441,0.2732,1.2742
1773993600800,0.1261,0.2143,1.2758
1773993600850,0.2618,0.1983,1.2833
1773993600900,0.1937,0.186,1.344
1773993600950,0.0258,0.2135,1.3207
1773993601000,0.2127,0.1606,1.3467
1773993601050,0.2086,0.2626,1.219
1773993601100,0.0684,0.2934,1.2554
1773993601150,0.1645,0.2209,1.2619
1773993601200,0.1643,0.2215,1.1587
1773993601250,-0.0242,0.2555,1.1774
1773993601300,0.0049,0.2454,1.1407
1773993601350,0.079,0.1681,1.0396
1773993601400,0.0839,0.2477,1.0759
1773993601450,0.0057,0.1793,1.0734
1773993601500,-0.0809,0.2372,1.0331
1773993601550,0.065,0.2323,1.0012
1773993601600,-0.1256,0.2512,1.0274
1773993601650,-0.0581,0.0875,1.0113
1773993601700,-0.0545,0.0618,0.8987
1773993601750,0.0152,0.0981,0.9191
1773993601800,-0.1175,0.0018,0.9064
1773993601850,-0.0334,0.0796,0.8483
1773993601900,-0.0563,0.168,0.8561
1773993601950,-0.0279,0.0361,0.773
1773993602000,-0.1834,0.1247,0.7282
1773993602050,-0.1962,0.0388,0.7818
1773993602100,-0.1232,-0.0736,0.6533
1773993602150,-0.108,-0.038,0.6421
1773993602200,-0.2502,-0.0899,0.7049
1773993602250,-0.1064,-0.0844,0.7094
1773993602300,-0.1001,-0.0982,0.7501
1773993602350,-0.0939,-0.1601,0.806
1773993602400,-0.167,-0.1088,0.7176
1773993602450,-0.1798,-0.1423,0.7254
1773993602500,-0.1273,-0.1367,0.7466
1773993602550,-0.0533,-0.1397,0.8347
1773993602600,-0.1992,-0.1264,0.7351
1773993602650,-0.1669,-0.0874,0.7498
1773993602700,-0.0387,-0.2691,0.7288
